hour,bus_id,demandP,demandQ
1,1,62.908559511,6.2908559511
2,1,60.736447625000004,6.073644762500001
3,1,59.422775167,5.9422775167
4,1,58.918302646,5.8918302646
5,1,59.444143248,5.9444143248
6,1,60.964993187,6.0964993187
7,1,64.454493719,6.445449371900001
8,1,69.753777807,6.975377780700001
9,1,75.682026714,7.568202671400001
10,1,74.417593747,7.4417593747
11,1,71.806971677,7.180697167700001
12,1,68.670509005,6.867050900500001
13,1,64.357872831,6.4357872831
14,1,67.009372969,6.7009372969
15,1,69.026334006,6.9026334006
16,1,71.862714497,7.1862714497
17,1,74.63963598,7.463963597999999
18,1,74.310753342,7.4310753342
19,1,72.701643938,7.270164393800001
20,1,70.775729507,7.0775729507
21,1,68.978952609,6.8978952609
22,1,67.146871925,6.7146871925000005
23,1,65.417915458,6.5417915458
24,1,66.087758345,6.6087758345
1,2,76.03309944899999,7.6033099448999995
2,2,73.407822375,7.3407822375
3,2,71.82007995299999,7.182007995299999
4,2,71.210359914,7.121035991399999
5,2,71.845906032,7.1845906032
6,2,73.684049133,7.368404913300001
7,2,77.90156012099999,7.790156012099999
8,2,84.30642771299999,8.430642771299999
9,2,91.47148032599999,9.147148032599999
10,2,89.943250173,8.9943250173
11,2,86.787977043,8.6787977043
12,2,82.99715779499999,8.2997157795
13,2,77.784781329,7.7784781329
14,2,80.98946087099999,8.0989460871
15,2,83.42721815399999,8.3427218154
16,2,86.85534942299999,8.6855349423
17,2,90.21161681999999,9.021161681999999
18,2,89.81411977799999,8.981411977799999
19,2,87.869303742,8.7869303742
20,2,85.541588013,8.5541588013
21,2,83.36995163099999,8.3369951631
22,2,81.15564607499999,8.1155646075
23,2,79.065979422,7.9065979422
24,2,79.87557085499999,7.9875570855
1,3,348.717345516,34.87173455160001
2,3,336.6768045,33.66768045
3,3,329.394800652,32.9394800652
4,3,326.598387576,32.6598387576
5,3,329.513249088,32.951324908800004
6,3,337.94368777200003,33.794368777200006
7,3,357.286832364,35.7286832364
8,3,386.662044492,38.6662044492
9,3,419.523760584,41.952376058400006
10,3,412.514703132,41.2514703132
11,3,398.043394212,39.804339421200005
