hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,40.9805,262.954,3.2594,1.4674,3.5744861336981013
2,1,41.2637,262.579,4.06189,1.08205,4.203544049323143
3,1,36.499,261.83,3.05598,1.63289,3.4648727988917574
4,1,37.4775,261.095,1.68716,2.8931,3.3491098034552405
5,1,30.5918,260.845,3.69251,2.91859,4.706675863940495
6,1,26.1836,260.345,2.52712,2.74393,3.730346812201246
7,1,26.3691,259.75,2.07737,2.3804,3.1593939730429317
8,1,3.11914,259.719,2.57483,2.18657,3.3779931755111643
9,1,85.3626,260.625,2.8444,-0.408657,2.873606080110668
10,1,245.242,262.108,1.68567,0.885626,1.904157756273361
11,1,381.127,263.845,-1.38072,-0.563839,1.491409446235674
12,1,472.643,266.565,-1.46708,-0.455549,1.5361798780745046
13,1,508.466,269.064,2.62407,-0.617361,2.695714741811715
14,1,478.762,270.095,4.44638,2.73521,5.220313098703947
15,1,397.992,271.062,3.19553,-1.65798,3.6000430082569848
16,1,271.371,271.329,2.65855,-0.33988,2.6801877764253756
17,1,117.666,270.816,3.69763,-0.598583,3.7457668406868305
18,1,11.0195,269.346,0.96438,-1.42131,1.717600332003927
19,1,0.0,268.578,0.758171,-1.69303,1.8550401198197846
20,1,19.751,268.079,-0.365885,-1.0999,1.1591599730947408
21,1,20.2607,267.205,-1.00213,0.384748,1.0734503064436656
22,1,20.1914,266.439,-0.210757,-0.123104,0.24407602886191015
23,1,20.874,265.859,1.64419,1.13221,1.9963116590853243
24,1,21.6152,265.33,0.92098,1.62847,1.8708604173748506
1,2,41.207,263.367,1.92835,-1.6576,2.542866784261417
2,2,42.8135,262.984,1.76306,-1.49705,2.3129071027821246
3,2,42.0166,262.235,0.506178,-0.919847,1.0499212689973472
4,2,36.9121,261.553,0.271146,-1.30319,1.3310989179681576
5,2,34.002,261.235,0.443482,-1.5111,1.5748331639649962
6,2,29.1807,260.666,-0.373267,-1.54122,1.585776573697884
7,2,25.4492,259.988,0.353253,0.956573,1.0197154438067515
8,2,3.19531,259.92,-0.623417,1.8311,1.9343153739473302
9,2,77.5266,260.809,0.590493,-1.19967,1.3371200738710791
10,2,226.539,262.378,-0.910037,1.9657,2.166135690894963
11,2,358.127,264.0,-0.360212,0.87122,0.9427496875332285
12,2,449.643,266.625,-1.40604,0.492693,1.4898640454246153
13,2,489.357,268.927,1.69829,1.13752,2.0440500665345747
14,2,468.184,269.924,2.27011,-1.03139,2.4934243008762067
15,2,391.289,271.125,1.27219,-1.40261,1.8936161723538378
16,2,268.809,271.948,1.60143,-0.866247,1.8207036853670067
17,2,121.041,271.299,2.26111,-2.93061,3.701498805105845
18,2,12.8242,269.799,1.73831,-3.5219,3.9275311922504192
19,2,0.0,268.935,1.29382,-3.7233,3.9416916523746504
