hour,bus_id,demandP,demandQ
1,1,54.912251982,5.4912251982
2,1,52.922233308,5.292223330800001
3,1,51.909572078000004,5.1909572078
4,1,51.432970967,5.1432970967000005
5,1,52.124181935,5.2124181935000005
6,1,53.54097861,5.3540978610000005
7,1,55.844086123000004,5.584408612300001
8,1,57.961384236,5.7961384236
9,1,59.5519127,5.95519127
10,1,58.157413153,5.8157413153
11,1,56.539013279,5.653901327900001
12,1,54.378979004,5.4378979004
13,1,51.479423317,5.1479423317
14,1,53.506603871,5.3506603871000005
15,1,55.436234490000004,5.543623449000001
16,1,57.448550292,5.7448550292
17,1,59.708921643000004,5.9708921643
18,1,60.814487573,6.0814487573000005
19,1,61.831794038,6.1831794038000005
20,1,62.372499392,6.237249939200001
21,1,61.312456765,6.131245676500001
22,1,60.158580391,6.0158580391
23,1,59.110615375,5.9110615375
24,1,58.238240242,5.8238240242
1,2,66.368531538,6.636853153800001
2,2,63.96333757199999,6.3963337572
3,2,62.739406001999996,6.2739406001999996
4,2,62.163372153,6.2163372153
5,2,62.998789665,6.2998789665
6,2,64.71117099,6.471117099000001
7,2,67.494773157,6.7494773157
8,2,70.053800724,7.0053800724
9,2,71.97615929999999,7.1976159299999996
10,2,70.290726927,7.0290726927
11,2,68.33468216099999,6.833468216099999
12,2,65.72400243599999,6.5724002436
13,2,62.21951580299999,6.2219515803
14,2,64.669624689,6.4669624689
15,2,67.00183190999999,6.700183191
16,2,69.43397482799999,6.943397482799999
17,2,72.16592483699999,7.2165924836999995
18,2,73.502143707,7.350214370700001
19,2,74.73168964199999,7.473168964199999
20,2,75.385201728,7.5385201728
21,2,74.104003635,7.4104003635
22,2,72.70939536899999,7.270939536899999
23,2,71.44279462499999,7.144279462499999
24,2,70.388416878,7.038841687800001
1,3,304.391880792,30.4391880792
2,3,293.36072644800004,29.336072644800005
3,3,287.747300568,28.774730056800003
4,3,285.105385452,28.510538545200003
5,3,288.93693486,28.893693486000004
6,3,296.79058116000004,29.679058116000007
7,3,309.557262588,30.955726258800002
8,3,321.293957616,32.1293957616
9,3,330.11064120000003,33.01106412000001
10,3,322.38059326800004,32.238059326800006
11,3,313.409411724,31.3409411724
12,3,301.435819824,30.143581982400004
13,3,285.36288205200003,28.536288205200005
14,3,296.600033676,29.6600033676
15,3,307.29644244,30.729644244000003
16,3,318.451195152,31.845119515200004
17,3,330.980979708,33.098097970800005
18,3,337.109398788,33.710939878800005
19,3,342.748574328,34.274857432800005
20,3,345.745834752,34.5745834752
21,3,339.86976234,33.986976234000004
22,3,333.473546796,33.3473546796
23,3,327.6644235,32.76644235
24,3,322.82863735200004,32.2828637352
1,4,70.599634548,7.0599634548
2,4,68.041105512,6.804110551200001
3,4,66.739146292,6.6739146292000004
4,4,66.126389338,6.6126389338
5,4,67.01506609,6.701506609000001
6,4,68.83661454,6.883661454
7,4,71.797675922,7.1797675922
8,4,74.519845704,7.4519845704000005
9,4,76.5647578,7.65647578
10,4,74.771876342,7.4771876342
11,4,72.69113050600001,7.2691130506000015
12,4,69.914015656,6.9914015656
13,4,66.186112238,6.618611223800001
14,4,68.792419594,6.8792419594
15,4,71.27330886,7.127330886
16,4,73.86050488800001,7.386050488800001
17,4,76.766621202,7.6766621202
18,4,78.188026222,7.818802622200001
19,4,79.49595773200001,7.949595773200001
20,4,80.191132288,8.0191132288
21,4,78.82825571000001,7.8828255710000015
22,4,77.344738874,7.7344738874
23,4,75.99739025,7.599739025
24,4,74.875794188,7.4875794188
1,5,79.722350118,7.9722350118
2,5,76.833214092,7.683321409200001
3,5,75.363018822,7.5363018822
4,5,74.671082883,7.4671082883
5,5,75.674592315,7.5674592315
6,5,77.73151689,7.773151689
7,5,81.075199527,8.1075199527
8,5,84.149121564,8.4149121564
9,5,86.4582723,8.64582723
10,5,84.433718997,8.4433718997
11,5,82.08410417099999,8.2084104171
12,5,78.948137196,7.894813719600001
13,5,74.73852303299999,7.473852303299999
14,5,77.681611179,7.7681611179
15,5,80.48307501,8.048307501
16,5,83.404582308,8.340458230800001
17,5,86.686220007,8.668622000700001
18,5,88.291295577,8.8291295577
19,5,89.768234862,8.9768234862
20,5,90.553238208,9.0553238208
21,5,89.014253985,8.9014253985
22,5,87.339040659,8.733904065900001
23,5,85.817590875,8.5817590875
24,5,84.551064858,8.4551064858
1,6,67.831050402,6.783105040200001
2,6,65.372854788,6.5372854788
3,6,64.12195225800001,6.4121952258000015
4,6,63.533224737000005,6.3533224737000005
5,6,64.38705178500001,6.438705178500001
6,6,66.13716771,6.613716771
7,6,68.982110253,6.8982110253
8,6,71.597529396,7.159752939600001
9,6,73.56224970000001,7.356224970000001
10,6,71.839676583,7.1839676583
11,6,69.840527769,6.9840527769000005
12,6,67.17231824400001,6.7172318244000015
13,6,63.590605587000006,6.359060558700001
14,6,66.09470588100001,6.6094705881000015
15,6,68.47830639,6.8478306390000006
16,6,70.96404481200001,7.096404481200001
17,6,73.756196973,7.3756196973
18,6,75.12186120300001,7.512186120300001
19,6,76.378501818,7.637850181800001
20,6,77.046414912,7.7046414912
21,6,75.73698391500001,7.573698391500002
22,6,74.311643601,7.4311643601
