hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,20.2119,298.591,0.958715,-0.459677,1.0632202949313938
2,1,21.2383,298.426,0.272839,-0.351108,0.4446548634446721
3,1,25.8047,298.095,1.01944,-0.96338,1.402625729836723
4,1,30.9971,297.815,-0.301729,-1.66956,1.6966057240976762
5,1,0.0,297.829,0.319399,-1.64166,1.6724423089604614
6,1,15.8438,297.859,-1.27372,0.521751,1.376439880416504
7,1,107.848,298.688,-0.298618,-0.72196,0.7812803283866809
8,1,222.552,299.981,1.02072,-0.117502,1.0274609668517827
9,1,282.626,300.827,1.43161,-0.261806,1.4553520446050159
10,1,363.74,302.143,-1.47465,3.16096,3.4880167350659317
11,1,268.005,302.048,-1.25276,3.9154,4.110932348944702
12,1,224.756,302.17,-2.50497,2.65659,3.6513483987425794
13,1,418.001,303.064,-1.1874,4.72739,4.874231731473176
14,1,293.794,303.314,-1.4791,5.08888,5.299475112159693
15,1,248.623,302.578,-2.13817,8.7957,9.051856684620011
16,1,63.1101,301.829,6.83181,7.22848,9.946082192828491
17,1,81.6156,301.593,10.6812,0.891645,10.718351750433692
18,1,124.338,300.955,4.24548,1.1156,4.389608614717262
19,1,33.8225,300.08,0.322193,2.52796,2.548409325608624
20,1,10.832,298.955,1.46085,1.63845,2.1951312318401377
21,1,0.0,299.22,3.40549,4.04538,5.287954376174212
22,1,37.7422,298.955,3.07993,3.99646,5.04555857527192
23,1,35.499,298.582,0.212591,4.07849,4.084026886956182
24,1,35.4297,298.218,1.74352,6.23305,6.47230826621384
1,2,19.5459,298.991,-2.19753,0.361124,2.2270044104752014
2,2,24.1934,298.898,-2.31798,2.07663,3.1121412945591014
3,2,26.3311,298.406,-1.40586,1.09619,1.782715584634857
4,2,27.207,298.075,-3.29538,-0.0406542,3.295630760321557
5,2,0.0,297.546,-0.893003,1.30463,1.580985071058231
6,2,11.6992,298.006,-3.24833,1.78933,3.7085508811124597
7,2,67.4258,299.331,-3.58475,2.5837,4.418816385922819
8,2,168.966,300.608,-3.00174,2.16472,3.700872289879779
9,2,195.501,301.38,-4.20462,2.40812,4.845396916538417
10,2,290.521,302.367,-4.10307,3.20002,5.203394221592286
11,2,250.646,303.107,-1.99983,2.9613,3.5733202653694502
12,2,219.163,303.303,-2.10409,3.47104,4.058979355663194
13,2,306.72,303.932,-0.950579,5.00668,5.096120589001108
14,2,300.122,304.108,-0.86582,6.79591,6.850842065067622
15,2,371.045,304.174,0.639172,9.0877,9.110149951322645
16,2,261.048,303.218,7.78396,2.67282,8.230066830469848
17,2,221.428,302.355,8.70363,2.69926,9.112583592181748
18,2,152.432,301.424,5.07849,1.65173,5.340343872167784
19,2,60.6037,300.677,2.08977,1.2306,2.4251835008716354
20,2,17.1328,300.057,2.53165,0.424579,2.5670058530788356
21,2,0.0,299.605,3.81857,4.17331,5.656676869063673
22,2,37.9756,299.177,3.33383,3.31043,4.698230438558756
23,2,36.0195,298.851,1.12665,2.41052,2.6608169596761067
24,2,35.6562,298.424,3.70104,2.21157,4.311465985775604
1,3,18.7461,297.727,-2.17166,2.53739,3.3398286135219575
2,3,23.4619,297.927,-1.51281,3.50827,3.8205434808414367
3,3,22.3174,297.769,-0.604097,3.59131,3.6417634054821573
4,3,29.0293,297.04,-1.55173,2.30017,2.774643764846219
5,3,0.0,296.866,-0.51605,2.22846,2.287431217348404
6,3,14.6074,297.105,-1.7498,1.16433,2.101776484048673
7,3,114.816,298.038,-1.31864,2.42843,2.7633464702241013
8,3,236.005,299.149,-1.78397,3.20574,3.668694305676067
9,3,245.532,299.479,-1.9136,1.72355,2.575362025521849
10,3,300.349,300.415,-3.98295,4.07698,5.699618989274634
11,3,244.333,300.729,-2.76985,4.16247,4.999822549191121
12,3,326.413,301.587,-2.33358,5.12827,5.634247847698927
13,3,415.064,301.959,-1.52675,6.51547,6.691958972035019
14,3,274.45,301.834,-0.588476,7.29982,7.3235016238802055
15,3,309.842,302.334,0.40382,9.07988,9.088855340844631
16,3,252.657,301.801,2.85036,8.53903,9.00219892417958
17,3,204.709,301.176,10.7232,4.6309,11.68042178390832
18,3,169.955,299.866,8.09704,2.4486,8.45917837154413
19,3,79.5022,299.116,5.45891,1.71155,5.720935394723489
20,3,19.3164,298.538,5.70792,1.53688,5.9112055336284826
21,3,0.0,298.208,6.63498,5.4819,8.606636230862787
22,3,32.3418,298.022,4.89633,5.5531,7.403442920621458
23,3,31.3086,297.884,2.16474,6.16882,6.537617261663457
24,3,32.6504,297.634,4.60339,6.96108,8.34552779987581
1,4,22.1211,298.766,-0.86941,2.13944,2.3093456349580936
